
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Gain;
7,8890;0,8940;-0,2647;-0,2891;-56,945;15,733;-107,921;99,1538;
7,9040;0,8940;-0,2647;-0,2891;-59,218;15,733;-107,921;99,1538;
8,0210;0,8940;-0,2647;-0,2891;-59,218;15,733;-107,921;99,1538;
8,0500;0,8970;-0,2735;-0,2852;-59,800;16,203;-107,640;99,1538;
8,1040;0,8970;-0,2735;-0,2852;-58,556;16,203;-107,640;99,1538;
8,2110;0,8965;-0,2667;-0,3033;-58,517;15,736;-108,692;98,8211;
8,2200;0,8965;-0,2667;-0,3033;-58,517;15,736;-108,692;98,8211;
8,3040;0,8965;-0,2667;-0,3033;-57,732;15,736;-108,692;98,8211;
8,3720;0,9019;-0,2725;-0,2852;-57,486;16,072;-107,550;98,8211;
8,4210;0,9019;-0,2725;-0,2852;-57,486;16,072;-107,550;98,8211;
8,5040;0,9019;-0,2725;-0,2852;-60,281;16,072;-107,550;98,1001;
8,5320;0,9160;-0,2715;-0,2691;-59,202;15,877;-106,371;98,1001;
8,6210;0,9160;-0,2715;-0,2691;-59,202;15,877;-106,371;98,1001;
8,6940;0,9004;-0,2671;-0,2779;-59,637;15,828;-107,152;98,1001;
8,7030;0,9004;-0,2671;-0,2779;-58,254;15,828;-107,152;98,1001;
8,8210;0,9004;-0,2671;-0,2779;-58,254;15,828;-107,152;100,0278;
8,8550;0,8994;-0,2745;-0,2652;-58,556;16,316;-106,428;100,0278;
8,9040;0,8994;-0,2745;-0,2652;-60,979;16,316;-106,428;100,0278;
9,0160;0,9111;-0,2667;-0,2794;-60,233;15,632;-107,046;100,0278;
9,0200;0,9111;-0,2667;-0,2794;-60,233;15,632;-107,046;100,0278;
9,1130;0,9111;-0,2667;-0,2794;-60,386;15,632;-107,046;100,3537;
9,1750;0,8950;-0,2720;-0,2691;-61,174;16,229;-106,734;100,3537;
9,2190;0,8950;-0,2720;-0,2691;-61,174;16,229;-106,734;100,3537;
9,3140;0,8950;-0,2720;-0,2691;-58,546;16,229;-106,734;100,3537;
9,3370;0,9141;-0,2711;-0,2720;-57,812;15,866;-106,573;100,3537;
9,4210;0,9141;-0,2711;-0,2720;-57,812;15,866;-106,573;99,9456;
9,4980;0,9082;-0,2662;-0,2877;-58,116;15,610;-107,575;99,9456;
9,5140;0,9082;-0,2662;-0,2877;-56,776;15,610;-107,575;99,9456;
9,6200;0,9082;-0,2662;-0,2877;-56,776;15,610;-107,575;99,9456;
9,6600;0,8965;-0,2569;-0,2720;-55,802;15,334;-106,880;99,9456;
9,7140;0,8965;-0,2569;-0,2720;-58,233;15,334;-106,880;99,9379;
9,8210;0,8965;-0,2569;-0,2720;-58,233;15,334;-106,880;99,9379;
9,8220;0,9014;-0,2525;-0,2759;-57,769;14,995;-107,021;99,9379;
9,9140;0,9014;-0,2525;-0,2759;-59,061;14,995;-107,021;99,9379;
